username,repo_name,stars,repo_url
jwasham,coding-interview-university,200000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,143000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,127000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,125000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,61800,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,54700,https://github.com/kdn251/interviews
azl397985856,leetcode,45400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,42700,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,35900,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26500,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24200,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,22100,https://github.com/halfrost/LeetCode-Go
huihut,interview,21400,https://github.com/huihut/interview
keon,algorithms,20100,https://github.com/keon/algorithms
youngyangyang04,leetcode-master,18800,https://github.com/youngyangyang04/leetcode-master
trekhleb,homemade-machine-learning,18600,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,17100,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,17000,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,16000,https://github.com/TheAlgorithms/Javascript
AtsushiSakai,PythonRobotics,13800,https://github.com/AtsushiSakai/PythonRobotics
OpenGenus,cosmos,12900,https://github.com/OpenGenus/cosmos
greyireland,algorithm-pattern,12900,https://github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,11400,https://github.com/williamfiset/Algorithms
apachecn,apachecn-algo-zh,10500,https://github.com/apachecn/apachecn-algo-zh
halfrost,Halfrost-Field,10300,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,9100,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8300,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7400,https://github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7000,https://github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,6900,https://github.com/mgechev/javascript-algorithms
